Timestamp,Aula,Situazione,BSSID,SSID,Signal
2025-03-10 11:59:49,Garden,Crowded,fa:25:51:66:0a:a6,DIRECT-1Gp0tEB28CC07GOfD,-85.0
2025-03-10 11:59:49,Garden,Crowded,12:31:31:d6:31:c4,Vale's Wifi,-76.0
2025-03-10 11:59:49,Garden,Crowded,38:91:b7:3d:b9:20,eduroam,-78.0
2025-03-10 11:59:49,Garden,Crowded,38:91:b7:3d:b9:21,ALMAWIFI,-80.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:5f:8d:20,eduroam,-83.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:56:6a:11,ALMAWIFI,-75.0
2025-03-10 11:59:49,Garden,Crowded,d8:ec:e5:da:5e:39,TSUNAMI 2G,-77.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-86.0
2025-03-10 11:59:49,Garden,Crowded,dc:f7:19:09:08:01,ALMAWIFI,-81.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-82.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-79.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:56:76:f0,eduroam,-79.0
2025-03-10 11:59:49,Garden,Crowded,68:d4:82:87:7b:99,ALHN-4FB0,-82.0
2025-03-10 11:59:49,Garden,Crowded,24:2f:d0:44:7f:6b,TP-Link_7F6B,-79.0
2025-03-10 11:59:49,Garden,Crowded,04:a1:51:c1:c8:56,BatWlan,-90.0
2025-03-10 11:59:49,Garden,Crowded,00:81:c4:93:d3:41,ALMAWIFI,-78.0
2025-03-10 11:59:49,Garden,Crowded,1a:d2:52:fe:b3:f3,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,-90.0
2025-03-10 11:59:49,Garden,Crowded,fa:25:51:6c:05:e8,DIRECT-1HJ4vEB53FE19GOVE,-81.0
2025-03-10 11:59:49,Garden,Crowded,dc:f7:19:45:33:80,eduroam,-89.0
2025-03-10 11:59:49,Garden,Crowded,c2:02:db:cb:cd:b1,TIM-90879136,-96.0
2025-03-10 11:59:49,Garden,Crowded,c2:02:db:cb:cd:b4,Ospiti-TIM-90879136,-96.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:10:c8:0f,eduroam,-88.0
2025-03-10 11:59:49,Garden,Crowded,d4:60:e3:e9:ee:8b,TIM-77410860,-86.0
2025-03-10 11:59:49,Garden,Crowded,02:22:6c:03:4e:3a,SoundBarSetup_4E3A,-87.0
2025-03-10 11:59:49,Garden,Crowded,e2:bb:9e:9d:22:88,DIRECT-1DaCuEB8F56C8GOZm,-84.0
2025-03-10 11:59:49,Garden,Crowded,00:81:c4:93:d3:40,eduroam,-86.0
2025-03-10 11:59:49,Garden,Crowded,20:b0:01:9f:a2:59,TIM-27239001,-90.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:10:c7:40,eduroam,-83.0
2025-03-10 11:59:49,Garden,Crowded,b6:3a:b6:a6:15:99,NON CI PROVARE,-94.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:10:c7:41,ALMAWIFI,-83.0
2025-03-10 11:59:49,Garden,Crowded,8c:1e:80:46:19:40,eduroam,-86.0
2025-03-10 11:59:49,Garden,Crowded,34:64:a9:8a:ef:78,HP-Print-78-ENVY 4500 series\x20,-94.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:5f:8d:2f,eduroam,-88.0
2025-03-10 11:59:49,Garden,Crowded,24:2f:d0:44:7f:6c,TP-Link_7F6B_5G,-89.0
2025-03-10 11:59:49,Garden,Crowded,38:91:b7:3d:b9:2f,eduroam,-93.0
2025-03-10 11:59:49,Garden,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-92.0
2025-03-10 11:59:49,Garden,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-87.0
